loc,specie,treeCode,treeHeight_m,dbh1_cm,dbase1_cm,distance_m,azimuth_degree
CANAR_HIGH,Quercus pyrenaica,CAH58,1.4,,3.1,8.7,170
CANAR_HIGH,Quercus pyrenaica,CAH59,2.5,,4.6,8.42,172
CANAR_HIGH,Quercus pyrenaica,CAH60,3.3,,5.3,8.59,161
CANAR_HIGH,Quercus pyrenaica,CAH61,2.6,,3.7,8.49,184
CANAR_HIGH,Quercus pyrenaica,CAH62,3.4,,9,8.09,186
CANAR_HIGH,Quercus pyrenaica,CAH63,3.5,,5.1,7.69,178
CANAR_HIGH,Quercus pyrenaica,CAH64,4,,4.1,6.56,176
CANAR_HIGH,Quercus pyrenaica,CAH65,2.7,,3.3,6.68,185
CANAR_HIGH,Quercus pyrenaica,CAH66,2.8,,4,6.05,176
CANAR_HIGH,Quercus pyrenaica,CAH67,1.9,,3.6,6.91,185
CANAR_HIGH,Quercus pyrenaica,CAH68,4.2,,6.9,8.1,182
CANAR_HIGH,Quercus pyrenaica,CAH69,7.3,14.4,18.4,6.04,186
CANAR_HIGH,Quercus pyrenaica,CAH70,2,,3.4,7.55,190
CANAR_HIGH,Quercus pyrenaica,CAH71,2.6,,4,5.39,188
CANAR_HIGH,Quercus pyrenaica,CAH72,2.1,,4,6.6,188
CANAR_HIGH,Quercus pyrenaica,CAH73,1.1,,3.2,4.86,198
CANAR_HIGH,Quercus pyrenaica,CAH74,2.7,,3.9,4.66,200
CANAR_HIGH,Quercus pyrenaica,CAH75,2.9,,3.8,5.2,196
CANAR_HIGH,Quercus pyrenaica,CAH76,2.8,,3.8,5.41,204
CANAR_HIGH,Quercus pyrenaica,CAH77,3,,7.5,6.08,204
CANAR_HIGH,Quercus pyrenaica,CAH78,,,3,,
CANAR_HIGH,Quercus pyrenaica,CAH79,2.7,NA,4.6,6.41,207
CANAR_HIGH,Quercus pyrenaica,CAH80,5.2,6.2,10.4,6.4,210
CANAR_HIGH,Quercus pyrenaica,CAH81,2.8,NA,7.3,7.8,
CANAR_HIGH,Quercus pyrenaica,CAH82,13.6,30.1,36.5,7.59,
CANAR_HIGH,Quercus pyrenaica,CAH83,1.9,NA,4.1,6.87,212
CANAR_HIGH,Quercus pyrenaica,CAH84,1.7,NA,3.3,7.47,204
CANAR_HIGH,Quercus pyrenaica,CAH85,3,NA,7.8,8.11,205
CANAR_HIGH,Quercus pyrenaica,CAH86,2.7,NA,5.7,8.59,206
CANAR_HIGH,Quercus pyrenaica,CAH87,2.5,NA,3.8,8.3,208
CANAR_HIGH,Quercus pyrenaica,CAH88,,,4.2,8.69,
CANAR_HIGH,Quercus pyrenaica,CAH89,3.9,NA,8.1,7.39,222
CANAR_HIGH,Quercus pyrenaica,CAH90,2.3,NA,3.7,6.92,230
CANAR_HIGH,Quercus pyrenaica,CAH91,3.5,12.4,7.6,7.39,233
CANAR_HIGH,Quercus pyrenaica,CAH92,2.6,NA,5.2,6.04,218
CANAR_HIGH,Quercus pyrenaica,CAH93,4.7,NA,8.2,5.35,206
CANAR_HIGH,Quercus pyrenaica,CAH94,4.2,NA,5.6,5.01,208
CANAR_HIGH,Quercus pyrenaica,CAH95,12.3,24.8,27.2,3.88,
CANAR_HIGH,Quercus pyrenaica,CAH96,2.2,NA,3.7,4.58,235
CANAR_HIGH,Quercus pyrenaica,CAH97,2.4,NA,3.4,5.12,230
CANAR_HIGH,Quercus pyrenaica,CAH98,1.9,NA,3.3,5.45,238
CANAR_HIGH,Quercus pyrenaica,CAH99,3.2,NA,8.7,6.07,240
CANAR_HIGH,Quercus pyrenaica,CAH100,1.3,NA,3.2,6.48,232
CANAR_HIGH,Quercus pyrenaica,CAH101,1.5,NA,3.2,6.53,228
CANAR_HIGH,Quercus pyrenaica,CAH102,2.8,NA,6.4,7.27,234
CANAR_HIGH,Quercus pyrenaica,CAH103,3.6,NA,8.7,7.53,236
CANAR_HIGH,Quercus pyrenaica,CAH104,3,NA,7.1,6.83,238
CANAR_HIGH,Quercus pyrenaica,CAH105,1.9,NA,3.8,5.67,243
CANAR_HIGH,Quercus pyrenaica,CAH106,4.6,NA,13,5.3,246
CANAR_HIGH,Quercus pyrenaica,CAH107,2.3,NA,4.8,5.85,260
CANAR_HIGH,Quercus pyrenaica,CAH108,2,NA,3.4,5.38,253
CANAR_HIGH,Quercus pyrenaica,CAH109,6.8,5.3,16.4,6.31,256
CANAR_HIGH,Quercus pyrenaica,CAH110,2.3,NA,5.8,6.61,250
CANAR_HIGH,Quercus pyrenaica,CAH111,1.8,NA,4.3,5.4,255
CANAR_HIGH,Quercus pyrenaica,CAH112,10.8,20.8,24.2,4.55,324
CANAR_HIGH,Quercus pyrenaica,CAH113,9,20.9,22.4,5.68,318
CANAR_HIGH,Quercus pyrenaica,CAH114,1.9,NA,4.2,5.53,312
CANAR_HIGH,Quercus pyrenaica,CAH115,1.7,NA,3.4,6.55,320
CANAR_HIGH,Quercus pyrenaica,CAH116,2.6,NA,6.9,6.82,315
CANAR_HIGH,Quercus pyrenaica,CAH117,1.5,NA,3.4,6.85,294
CANAR_HIGH,Quercus pyrenaica,CAH118,1.2,NA,3.3,6.16,298
CANAR_HIGH,Quercus pyrenaica,CAH119,1.8,NA,5,7.15,286
CANAR_HIGH,Quercus pyrenaica,CAH120,1.6,NA,4.4,6.61,288
CANAR_HIGH,Quercus pyrenaica,CAH121,3.3,NA,8.1,7.19,273
CANAR_HIGH,Quercus pyrenaica,CAH122,1.9,NA,6.1,6.9,276
CANAR_HIGH,Quercus pyrenaica,CAH123,3.8,NA,10.1,8.8,266
CANAR_HIGH,Quercus pyrenaica,CAH124,2.1,NA,10.1,7.18,276
CANAR_HIGH,Quercus pyrenaica,CAH125,3.1,NA,6.8,6.63,264
CANAR_HIGH,Quercus pyrenaica,CAH126,3.2,NA,5.2,6.22,268
CANAR_HIGH,Quercus pyrenaica,CAH127,2.6,NA,4.3,5.55,266
CANAR_HIGH,Quercus pyrenaica,CAH128,1.9,NA,3.3,4.88,307
CANAR_HIGH,Quercus pyrenaica,CAH129,10.1,15.9,19.6,5.29,288
CANAR_HIGH,Quercus pyrenaica,CAH130,10.6,20.4,22.3,4.73,260
CANAR_HIGH,Quercus pyrenaica,CAH131,9.5,18.4,23.2,3.17,271
CANAR_HIGH,Quercus pyrenaica,CAH132,2.2,NA,3.9,3.44,241
CANAR_HIGH,Quercus pyrenaica,CAH133,1.8,NA,3.4,8.32,240
CANAR_HIGH,Quercus pyrenaica,CAH134,2.3,NA,3.1,8.15,242
CANAR_HIGH,Quercus pyrenaica,CAH135,3.6,NA,7.4,8.74,234
CANAR_HIGH,Quercus pyrenaica,CAH136,1.5,NA,3,7.84,250
CANAR_HIGH,Quercus pyrenaica,CAH137,1.9,NA,4.7,8.83,268
PORTUGOS_X,Quercus pyrenaica,POX01,4.2,6.1,9.1,0.74,42
PORTUGOS_X,Quercus pyrenaica,POX02,7.4,18.6,21.5,4.91,40
PORTUGOS_X,Quercus pyrenaica,POX03,6.9,17,21.6,8.3,50
PORTUGOS_X,Quercus pyrenaica,POX04,6.3,9.5,12.4,8.72,94
PORTUGOS_X,Quercus pyrenaica,POX05,6,11,14.5,6.91,87
PORTUGOS_X,Quercus pyrenaica,POX06,3.9,3.9,6,5.48,92
PORTUGOS_X,Quercus pyrenaica,POX07,6.7,11.8,15.3,3.78,120
PORTUGOS_X,Quercus ilex,POX08,4.9,13.5,18.2,5.39,146
PORTUGOS_X,Quercus pyrenaica,POX09,6.8,11.3,14.8,6.6,144
PORTUGOS_X,Quercus pyrenaica,POX10,5.5,9.5,13.6,7.44,150
PORTUGOS_X,Quercus ilex,POX11,4.1,9.2,11.6,8.85,170
PORTUGOS_X,Quercus ilex,POX12,6.5,13.9,16.2,7.57,160
PORTUGOS_X,Quercus ilex,POX13,5.3,12,13.6,5.83,164
PORTUGOS_X,Quercus ilex,POX14,6.2,12.4,17.4,6.43,161
PORTUGOS_X,Quercus ilex,POX15,4.9,14.4,15.8,4.69,187
PORTUGOS_X,Quercus pyrenaica,POX16,2.7,NA,3,3.05,175
PORTUGOS_X,Quercus pyrenaica,POX17,2.6,NA,3.6,2.4,185
PORTUGOS_X,Quercus pyrenaica,POX18,8.2,15.1,19.3,1.06,217
PORTUGOS_X,Quercus pyrenaica,POX19,7.4,15,20,3.44,260
PORTUGOS_X,Quercus pyrenaica,POX20,7.2,10.9,14.8,6.52,220
PORTUGOS_X,Quercus ilex,POX21,6.1,10.4,14,7.01,213
PORTUGOS_X,Quercus ilex,POX22,5.9,11.5,12.1,7.44,205
PORTUGOS_X,Quercus ilex,POX23,5.2,10.3,12.4,7.45,199
PORTUGOS_X,Quercus ilex,POX24,4.5,10.8,13.9,8.23,195
PORTUGOS_X,Quercus pyrenaica,POX25,2.9,NA,3.5,7.89,235
PORTUGOS_X,Quercus pyrenaica,POX26,6.5,11.3,15.1,7.73,245
PORTUGOS_X,Quercus pyrenaica,POX27,7.5,10.3,13.5,7.96,269
PORTUGOS_X,Quercus pyrenaica,POX28,3.8,NA,4.4,8.34,305
PORTUGOS_X,Quercus ilex,POX29,2.8,NA,5.3,6.95,307
PORTUGOS_X,Quercus pyrenaica,POX30,7.3,10.7,12.1,6.12,302
PORTUGOS_X,Quercus pyrenaica,POX31,8,13.1,18.5,2.25,300
PORTUGOS_X,Quercus pyrenaica,POX32,5.5,7.2,10.2,5.38,335
PORTUGOS_X,Quercus pyrenaica,POX33,8,10,13.8,6.84,340
PORTUGOS_X,Quercus pyrenaica,POX34,4.7,11.3,13.1,8.1,332
PORTUGOS_X,Quercus pyrenaica,POX35,7.2,12.7,19,8.99,348
PORTUGOS_X,Quercus pyrenaica,POX36,3.6,NA,4.7,8.37,343
PORTUGOS_X,Quercus pyrenaica,POX37,7.1,10.5,13.5,7.63,358
PORTUGOS_X,Quercus pyrenaica,POX38,3.6,NA,4.4,8.11,358
PORTUGOS_X,Quercus pyrenaica,POX39,7.5,12.5,16.9,6.19,350
PORTUGOS_X,Quercus pyrenaica,POX40,6.2,7.4,10,6.96,0
PORTUGOS_X,Quercus pyrenaica,POX41,2.4,NA,3.5,8.48,12
